Search Mode,Precision,Recall,F1 Score,NDCG,MRR,Avg Latency (ms),Test Cases
classic,0.098,0.652,0.170,0.211,0.307,0.3,34
vector,0.000,0.000,0.000,0.000,0.000,0.0,9
hybrid,0.035,0.300,0.063,0.266,1.000,22.0,4

Test Case Details
Mode,Test ID,Query,Precision,Recall,Latency (ms),Expected Count,Actual Count
classic,classic_keyword_0,fitness,0.05,1.00,2,1,21
classic,classic_keyword_2,digital,0.05,1.00,0,1,20
classic,classic_keyword_3,software,0.06,1.00,0,1,16
classic,classic_topic_technology,technology,0.00,0.00,0,5,20
classic,classic_topic_finance,finance,0.25,1.00,0,5,20
classic,classic_topic_career,career,0.15,0.80,0,5,26
classic,classic_topic_relationships,relationships,0.24,0.80,0,5,17
classic,classic_topic_learning,learning,0.02,0.20,0,5,50
classic,classic_topic_family,family,0.08,0.40,0,5,25
classic,classic_topic_mindfulness,mindfulness,0.04,0.20,0,5,25
classic,classic_topic_hobbies,hobbies,0.06,0.20,0,5,17
classic,classic_topic_health,health,0.12,0.80,0,5,34
classic,classic_topic_goals,goals,0.08,0.60,1,5,38
classic,classic_topic_creativity,creativity,0.15,0.80,0,5,26
classic,classic_topic_travel,travel,0.18,0.80,0,5,22
classic,classic_topic_reflection,reflection,0.00,0.00,1,5,50
classic,classic_topic_work,work,0.02,0.20,3,5,50
classic,classic_topic_productivity,productivity,0.11,0.40,0,5,18
classic,classic_entity_New_York,"""New York""",0.07,0.67,1,3,29
classic,classic_entity_Amazon,"""Amazon""",0.12,1.00,0,3,26
classic,classic_entity_MIT,"""MIT""",0.19,1.00,0,3,16
classic,classic_entity_John_Doe,"""John Doe""",0.00,0.00,0,3,20
classic,classic_entity_Harvard,"""Harvard""",0.14,1.00,0,3,21
classic,classic_entity_Google,"""Google""",0.09,0.67,0,3,23
classic,classic_entity_Stanford,"""Stanford""",0.05,0.33,0,3,20
classic,classic_entity_OpenAI,"""OpenAI""",0.11,0.67,0,3,19
classic,classic_entity_San_Francisco,"""San Francisco""",0.13,0.67,0,3,15
classic,classic_entity_Apple,"""Apple""",0.04,0.33,0,3,25
classic,classic_entity_Cambridge,"""Cambridge""",0.07,0.67,0,3,28
classic,classic_entity_Oxford,"""Oxford""",0.05,0.33,0,3,21
classic,classic_entity_Tesla,"""Tesla""",0.08,0.67,0,3,24
classic,classic_entity_Microsoft,"""Microsoft""",0.04,0.33,0,3,25
classic,classic_entity_Jane_Smith,"""Jane Smith""",0.08,0.67,0,3,25
classic,classic_filtered_recent,,0.12,1.00,2,5,42
vector,vector_similar_0,"Entry 1: health and Tesla

Had a great conversation with health about Tesla. We discussed how medita",0.00,0.00,604,5,22
vector,vector_similar_1,"Entry 2: goals and OpenAI

Today I learned about goals and it made me think about OpenAI. goals was ",0.00,0.00,36,5,22
vector,vector_similar_2,"Entry 3: work and OpenAI

Had a great conversation with work about OpenAI. We discussed how hardware",0.00,0.00,26,5,22
vector,vector_explore_0,"Entry 1: health and Tesla

Had a great conversation with health about Tesla. We discussed how medita",0.00,0.00,25,5,22
vector,vector_explore_1,"Entry 2: goals and OpenAI

Today I learned about goals and it made me think about OpenAI. goals was ",0.00,0.00,24,5,22
vector,vector_explore_2,"Entry 3: work and OpenAI

Had a great conversation with work about OpenAI. We discussed how hardware",0.00,0.00,21,5,22
vector,vector_contrast_0,"Entry 3: work and OpenAI

Had a great conversation with work about OpenAI. We discussed how hardware",0.00,0.00,22,5,22
vector,vector_contrast_1,"Entry 1: health and Tesla

Had a great conversation with health about Tesla. We discussed how medita",0.00,0.00,20,5,22
vector,vector_contrast_2,"Entry 2: goals and OpenAI

Today I learned about goals and it made me think about OpenAI. goals was ",0.00,0.00,26,5,22
hybrid,hybrid_keyword_semantic_0,fitness,0.05,0.40,21,5,43
hybrid,hybrid_keyword_semantic_2,digital,0.02,0.20,23,5,42
hybrid,hybrid_natural_0,How can I improve my productivity while working from home?,0.00,0.00,25,5,22
hybrid,hybrid_natural_1,Tell me about recent technology innovations,0.00,0.00,25,5,22
