Search Mode,Precision,Recall,F1 Score,NDCG,MRR,Avg Latency (ms),Test Cases
classic,0.440,1.000,0.612,0.262,0.434,1.3,5
vector,0.000,0.000,0.000,0.000,0.000,0.0,9
hybrid,0.041,0.750,0.078,0.210,0.519,20.0,4

Test Case Details
Mode,Test ID,Query,Precision,Recall,Latency (ms),Expected Count,Actual Count
classic,classic_keyword_1,digital,1.00,1.00,2,1,1
classic,classic_keyword_2,culture,0.25,1.00,0,1,4
classic,classic_topic_work,work,0.07,1.00,2,2,28
classic,classic_topic_mindfulness,mindfulness,0.00,0.00,0,2,4
classic,classic_entity_OpenAI,"""OpenAI""",0.00,0.00,0,2,2
vector,vector_similar_0,"Entry 3: travel and Oxford

Working on travel project with Oxford. The main challenge is culture but",0.00,0.00,587,0,22
vector,vector_similar_1,"Entry 1: work and Stanford

Reflecting on my experience with work. It's been a journey with Stanford",0.00,0.00,32,1,22
vector,vector_similar_2,"Entry 2: technology and Tesla

Had a great conversation with technology about Tesla. We discussed ho",0.00,0.00,27,1,22
vector,vector_explore_0,"Entry 1: work and Stanford

Reflecting on my experience with work. It's been a journey with Stanford",0.00,0.00,25,1,22
vector,vector_explore_1,"Entry 2: technology and Tesla

Had a great conversation with technology about Tesla. We discussed ho",0.00,0.00,20,1,22
vector,vector_explore_2,"Entry 3: travel and Oxford

Working on travel project with Oxford. The main challenge is culture but",0.00,0.00,19,1,22
vector,vector_contrast_0,"Entry 1: work and Stanford

Reflecting on my experience with work. It's been a journey with Stanford",0.00,0.00,18,4,22
vector,vector_contrast_1,"Entry 2: technology and Tesla

Had a great conversation with technology about Tesla. We discussed ho",0.00,0.00,19,4,22
vector,vector_contrast_2,"Entry 3: travel and Oxford

Working on travel project with Oxford. The main challenge is culture but",0.00,0.00,19,4,22
hybrid,hybrid_keyword_semantic_1,digital,0.04,0.50,19,2,23
hybrid,hybrid_keyword_semantic_2,culture,0.04,1.00,21,1,26
hybrid,hybrid_natural_0,How can I improve my productivity while working from home?,0.00,0.00,22,2,22
hybrid,hybrid_natural_1,Tell me about recent technology innovations,0.00,0.00,26,1,22
