Search Mode,Precision,Recall,F1 Score,NDCG,MRR,Avg Latency (ms),Test Cases
classic,0.262,0.656,0.375,0.299,0.501,0.2,34
vector,0.000,0.000,0.000,0.000,0.000,0.0,9
hybrid,0.054,0.300,0.092,0.168,0.571,20.0,4

Test Case Details
Mode,Test ID,Query,Precision,Recall,Latency (ms),Expected Count,Actual Count
classic,classic_keyword_0,connection,0.33,1.00,1,1,3
classic,classic_keyword_2,meditation,0.14,1.00,0,1,7
classic,classic_keyword_3,digital,0.14,1.00,1,1,7
classic,classic_topic_work,work,0.04,0.40,2,5,50
classic,classic_topic_learning,learning,0.06,0.60,1,5,50
classic,classic_topic_travel,travel,0.33,0.40,0,5,6
classic,classic_topic_career,career,0.36,0.80,0,5,11
classic,classic_topic_mindfulness,mindfulness,0.15,0.40,0,5,13
classic,classic_topic_productivity,productivity,0.50,0.80,0,5,8
classic,classic_topic_reflection,reflection,0.03,0.20,0,5,30
classic,classic_topic_creativity,creativity,0.33,0.80,0,5,12
classic,classic_topic_goals,goals,0.04,0.20,2,5,26
classic,classic_topic_hobbies,hobbies,0.12,0.20,0,5,8
classic,classic_topic_technology,technology,0.43,0.60,0,5,7
classic,classic_topic_family,family,0.62,1.00,0,5,8
classic,classic_topic_relationships,relationships,0.50,0.80,0,5,8
classic,classic_topic_health,health,0.44,0.80,0,5,9
classic,classic_topic_finance,finance,0.71,1.00,0,5,7
classic,classic_entity_Tesla,"""Tesla""",0.29,0.67,0,3,7
classic,classic_entity_Cambridge,"""Cambridge""",0.20,0.67,0,3,10
classic,classic_entity_Stanford,"""Stanford""",0.07,0.33,0,3,14
classic,classic_entity_Harvard,"""Harvard""",0.00,0.00,0,3,3
classic,classic_entity_Amazon,"""Amazon""",0.23,1.00,0,3,13
classic,classic_entity_MIT,"""MIT""",0.60,1.00,0,3,5
classic,classic_entity_New_York,"""New York""",0.06,0.33,0,3,16
classic,classic_entity_Microsoft,"""Microsoft""",0.18,0.67,0,3,11
classic,classic_entity_OpenAI,"""OpenAI""",0.25,0.67,0,3,8
classic,classic_entity_Oxford,"""Oxford""",0.09,0.33,0,3,11
classic,classic_entity_Apple,"""Apple""",0.29,0.67,0,3,7
classic,classic_entity_John_Doe,"""John Doe""",0.29,0.67,0,3,7
classic,classic_entity_Google,"""Google""",0.00,0.00,0,3,10
classic,classic_entity_San_Francisco,"""San Francisco""",0.17,0.33,0,3,6
classic,classic_entity_Jane_Smith,"""Jane Smith""",0.22,0.67,0,3,9
classic,classic_filtered_recent,,0.14,1.00,1,4,28
vector,vector_similar_0,"Entry 3: career and Jane Smith

Working on career project with Jane Smith. The main challenge is tas",0.00,0.00,47,5,22
vector,vector_similar_1,"Entry 1: family and Oxford

Visited family and met Oxford. The love experience was really memorable.",0.00,0.00,21,5,22
vector,vector_similar_2,"Entry 2: mindfulness and Stanford

Had a great conversation with mindfulness about Stanford. We disc",0.00,0.00,20,5,22
vector,vector_explore_0,"Entry 3: career and Jane Smith

Working on career project with Jane Smith. The main challenge is tas",0.00,0.00,16,5,22
vector,vector_explore_1,"Entry 1: family and Oxford

Visited family and met Oxford. The love experience was really memorable.",0.00,0.00,16,5,22
vector,vector_explore_2,"Entry 2: mindfulness and Stanford

Had a great conversation with mindfulness about Stanford. We disc",0.00,0.00,16,5,22
vector,vector_contrast_0,"Entry 3: career and Jane Smith

Working on career project with Jane Smith. The main challenge is tas",0.00,0.00,17,5,22
vector,vector_contrast_1,"Entry 1: family and Oxford

Visited family and met Oxford. The love experience was really memorable.",0.00,0.00,17,5,22
vector,vector_contrast_2,"Entry 2: mindfulness and Stanford

Had a great conversation with mindfulness about Stanford. We disc",0.00,0.00,23,5,22
hybrid,hybrid_keyword_semantic_0,connection,0.04,0.20,22,5,25
hybrid,hybrid_keyword_semantic_2,meditation,0.07,0.40,18,5,29
hybrid,hybrid_natural_0,How can I improve my productivity while working from home?,0.00,0.00,21,5,22
hybrid,hybrid_natural_1,Tell me about recent technology innovations,0.00,0.00,19,5,22
